,data_indexes,lables,Latitude,Longitude,Parent Incident Type
1295,1380,1,42.924,-78.881,Robbery
1302,1388,1,42.926,-78.888,Assault
1315,1401,1,42.923,-78.883,Theft
1323,1410,1,42.926,-78.888,Assault
1326,1413,1,42.951,-78.908,Assault
1327,1414,1,42.921,-78.884,Theft
1328,1415,1,42.952,-78.904,Theft of Vehicle
1331,1418,1,42.958,-78.897,Assault
1337,1424,1,42.948,-78.884,Breaking & Entering
1340,1427,1,42.926,-78.897,Theft of Vehicle
1346,1435,1,42.951,-78.869,Theft
1358,1448,1,42.922,-78.889,Assault
1367,1457,1,42.948,-78.908,Theft
1373,1463,1,42.956,-78.904,Breaking & Entering
1375,1465,1,42.927,-78.894,Theft
1376,1466,1,42.955,-78.85,Assault
1377,1467,1,42.959,-78.895,Theft
1380,1470,1,42.947,-78.891,Robbery
1387,1478,1,42.952,-78.865,Theft
1402,1493,1,42.948,-78.865,Theft
1404,1495,1,42.952,-78.861,Theft of Vehicle
1405,1496,1,42.954,-78.904,Theft
1406,1497,1,42.941,-78.89,Theft
1413,1504,1,42.947,-78.878,Theft
1417,1509,1,42.954,-78.879,Theft
1418,1510,1,42.942,-78.901,Theft
1419,1511,1,42.951,-78.909,Theft
1423,1515,1,42.948,-78.884,Theft of Vehicle
1430,1522,1,42.954,-78.879,Theft
1433,1525,1,42.929,-78.891,Theft
1445,1540,1,42.953,-78.864,Theft of Vehicle
1459,1555,1,42.955,-78.88,Theft
1467,1564,1,42.928,-78.877,Theft
1473,1571,1,42.958,-78.887,Theft
1474,1572,1,42.94,-78.889,Breaking & Entering
1478,1576,1,42.961,-78.9,Theft
1479,1577,1,42.921,-78.895,Theft
1490,1589,1,42.956,-78.889,Theft
1491,1590,1,42.948,-78.884,Theft
1494,1593,1,42.96,-78.904,Breaking & Entering
1496,1595,1,42.948,-78.899,Assault
1502,1602,1,42.943,-78.868,Theft
1505,1605,1,42.918,-78.891,Robbery
1507,1608,1,42.94,-78.906,Assault
1514,1617,1,42.93,-78.874,Theft
1515,1618,1,42.955,-78.861,Assault
1517,1620,1,42.956,-78.905,Breaking & Entering
1531,1634,1,42.948,-78.863,Theft of Vehicle
1541,1647,1,42.927,-78.894,Theft
1542,1648,1,42.942,-78.891,Theft
1553,1661,1,42.94,-78.907,Theft
1557,1665,1,42.945,-78.868,Theft
1558,1666,1,42.956,-78.884,Theft of Vehicle
1576,1684,1,42.948,-78.884,Theft
1577,1685,1,42.94,-78.907,Robbery
1581,1690,1,42.94,-78.906,Theft
1582,1691,1,42.941,-78.889,Theft
1584,1694,1,42.927,-78.891,Breaking & Entering
1591,1702,1,42.942,-78.881,Theft
1592,1703,1,42.94,-78.875,Theft
1597,1709,1,42.939,-78.901,Theft
1602,1714,1,42.955,-78.878,Theft
1624,1738,1,42.955,-78.878,Theft
1651,1766,1,42.943,-78.867,Theft
1654,1769,1,42.956,-78.904,Breaking & Entering
1663,1779,1,42.957,-78.899,Theft
1673,1789,1,42.943,-78.9,Breaking & Entering
1674,1790,1,42.949,-78.886,Theft
1682,1799,1,42.954,-78.879,Theft
1683,1800,1,42.943,-78.881,Theft
1687,1804,1,42.954,-78.879,Theft
1691,1808,1,42.954,-78.902,Theft
1692,1809,1,42.957,-78.859,Theft
1695,1812,1,42.938,-78.895,Theft of Vehicle
1697,1814,1,42.944,-78.907,Theft of Vehicle
1707,1824,1,42.942,-78.894,Breaking & Entering
1716,1833,1,42.928,-78.877,Theft of Vehicle
1721,1839,1,42.948,-78.859,Theft
1724,1842,1,42.96,-78.905,Theft
1725,1843,1,42.958,-78.859,Assault
1729,1847,1,42.954,-78.878,Theft
1741,1859,1,42.939,-78.862,Theft of Vehicle
